Id,Name,FullName,HtmlUrl,Description,Language,CreatedAt,UpdatedAt,PushedAt,OpenIssuesCount,ForksCount,StargazersCount,WatchersCount,Size,OwnerLogin,OwnerType,License
26038648,spdlog,gabime/spdlog,https://github.com/gabime/spdlog,Fast C++ logging library.,C++,2014-11-01T01:28:53Z,2024-12-07T01:05:30Z,2024-12-06T23:34:19Z,60,4590,24617,24617,42717,gabime,User,Other
129717717,loki,grafana/loki,https://github.com/grafana/loki,"Like Prometheus, but for logs.",Go,2018-04-16T09:22:48Z,2024-12-07T00:21:35Z,2024-12-07T00:01:28Z,1873,3479,24121,24121,316724,grafana,Organization,GNU Affero General Public License v3.0
2500088,gitlabhq,gitlabhq/gitlabhq,https://github.com/gitlabhq/gitlabhq,GitLab CE Mirror | Please open new issues in our issue tracker on GitLab.com,Ruby,2011-10-02T16:25:27Z,2024-12-07T00:21:35Z,2024-12-07T00:21:31Z,36,5742,23825,23825,1722789,gitlabhq,Organization,Other
263556058,GitHub520,521xueweihan/GitHub520,https://github.com/521xueweihan/GitHub520,:kissing_heart: 让你“爱”上 GitHub，解决访问时图裂、加载慢的问题。（无需安装）,Python,2020-05-13T07:25:21Z,2024-12-07T01:06:18Z,2024-12-07T00:26:33Z,21,2310,23583,23583,10653,521xueweihan,User,NA
566931318,live,fanmingming/live,https://github.com/fanmingming/live,✯ 可直连访问的电视/广播图标库与相关工具项目 ✯ 🔕 永久免费 直连访问 完整开源 不断完善的台标 支持IPv4/IPv6双栈访问 🔕,JavaScript,2022-11-16T18:03:31Z,2024-12-07T00:35:38Z,2024-12-07T00:35:34Z,1,3518,23225,23225,104722,fanmingming,User,GNU General Public License v3.0
638629097,aider,Aider-AI/aider,https://github.com/Aider-AI/aider,aider is AI pair programming in your terminal,Python,2023-05-09T18:57:49Z,2024-12-06T23:54:23Z,2024-12-06T23:12:22Z,291,2128,22859,22859,115218,Aider-AI,Organization,Apache License 2.0
3757512,sails,balderdashy/sails,https://github.com/balderdashy/sails,Realtime MVC Framework for Node.js,JavaScript,2012-03-18T19:46:15Z,2024-12-06T23:47:45Z,2024-12-06T23:47:38Z,591,1953,22856,22856,13174,balderdashy,Organization,MIT License
458648791,paperless-ngx,paperless-ngx/paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,"A community-supported supercharged version of paperless: scan, index and archive all your physical documents",Python,2022-02-12T21:56:52Z,2024-12-07T00:59:38Z,2024-12-07T00:32:37Z,3,1254,22632,22632,201035,paperless-ngx,Organization,GNU General Public License v3.0
11393110,cli,urfave/cli,https://github.com/urfave/cli,"A simple, fast, and fun package for building command line apps in Go",Go,2013-07-13T19:32:06Z,2024-12-07T00:03:03Z,2024-12-06T23:29:46Z,31,1709,22447,22447,11777,urfave,Organization,MIT License
235901813,posthog,PostHog/posthog,https://github.com/PostHog/posthog,"🦔 PostHog provides open-source web & product analytics, session recording, feature flagging and A/B testing that you can self-host. Get started - free.",Python,2020-01-23T22:46:58Z,2024-12-07T00:36:18Z,2024-12-07T00:58:24Z,1655,1354,22431,22431,1345588,PostHog,Organization,Other
